cctdif2d
volumeGrid 223
 (3.1341 0.75301 0.0000)  (3.2770 0.79587 0.0000)  (3.2884 0.75756 0.0000)  (3.1456 0.71470 0.0000) 
 (2.9973 1.7282 0.0000)  (3.1401 1.7710 0.0000)  (3.1516 1.7327 0.0000)  (3.0088 1.6898 0.0000) 
 (3.0088 1.6898 0.0000)  (3.1516 1.7327 0.0000)  (3.1899 1.6050 0.0000)  (3.0471 1.5621 0.0000) 
 (3.0471 1.5621 0.0000)  (3.1899 1.6050 0.0000)  (3.2282 1.4773 0.0000)  (3.0854 1.4344 0.0000) 
 (3.0854 1.4344 0.0000)  (3.2282 1.4773 0.0000)  (3.2666 1.3496 0.0000)  (3.1237 1.3067 0.0000) 
 (3.1237 1.3067 0.0000)  (3.2666 1.3496 0.0000)  (3.3049 1.2219 0.0000)  (3.1620 1.1790 0.0000) 
 (3.1620 1.1790 0.0000)  (3.3049 1.2219 0.0000)  (3.3432 1.0941 0.0000)  (3.2003 1.0513 0.0000) 
 (3.2003 1.0513 0.0000)  (3.3432 1.0941 0.0000)  (3.3815 0.96644 0.0000)  (3.2386 0.92358 0.0000) 
 (3.2386 0.92358 0.0000)  (3.3815 0.96644 0.0000)  (3.4198 0.83873 0.0000)  (3.2770 0.79587 0.0000) 
 (3.2770 0.79587 0.0000)  (3.4198 0.83873 0.0000)  (3.4313 0.80042 0.0000)  (3.2884 0.75756 0.0000) 
 (3.1784 1.6433 0.0000)  (3.3213 1.6862 0.0000)  (3.3328 1.6478 0.0000)  (3.1899 1.6050 0.0000) 
 (3.1899 1.6050 0.0000)  (3.3328 1.6478 0.0000)  (3.3711 1.5201 0.0000)  (3.2282 1.4773 0.0000) 
 (3.2282 1.4773 0.0000)  (3.3711 1.5201 0.0000)  (3.4094 1.3924 0.0000)  (3.2666 1.3496 0.0000) 
 (3.2666 1.3496 0.0000)  (3.4094 1.3924 0.0000)  (3.4477 1.2647 0.0000)  (3.3049 1.2219 0.0000) 
 (3.3049 1.2219 0.0000)  (3.4477 1.2647 0.0000)  (3.4860 1.1370 0.0000)  (3.3432 1.0941 0.0000) 
 (3.3432 1.0941 0.0000)  (3.4860 1.1370 0.0000)  (3.5244 1.0093 0.0000)  (3.3815 0.96644 0.0000) 
 (3.3815 0.96644 0.0000)  (3.5244 1.0093 0.0000)  (3.5358 0.97098 0.0000)  (3.3930 0.92813 0.0000) 
 (3.3213 1.6862 0.0000)  (3.4642 1.7290 0.0000)  (3.4756 1.6907 0.0000)  (3.3328 1.6478 0.0000) 
 (3.3328 1.6478 0.0000)  (3.4756 1.6907 0.0000)  (3.5140 1.5630 0.0000)  (3.3711 1.5201 0.0000) 
 (3.3711 1.5201 0.0000)  (3.5140 1.5630 0.0000)  (3.5523 1.4353 0.0000)  (3.4094 1.3924 0.0000) 
 (3.4094 1.3924 0.0000)  (3.5523 1.4353 0.0000)  (3.5906 1.3076 0.0000)  (3.4477 1.2647 0.0000) 
 (3.4477 1.2647 0.0000)  (3.5906 1.3076 0.0000)  (3.6289 1.1799 0.0000)  (3.4860 1.1370 0.0000) 
 (3.4860 1.1370 0.0000)  (3.6289 1.1799 0.0000)  (3.6672 1.0522 0.0000)  (3.5244 1.0093 0.0000) 
 (3.5244 1.0093 0.0000)  (3.6672 1.0522 0.0000)  (3.6787 1.0138 0.0000)  (3.5358 0.97098 0.0000) 
 (3.5025 1.6013 0.0000)  (3.6453 1.6442 0.0000)  (3.6568 1.6059 0.0000)  (3.5140 1.5630 0.0000) 
 (3.5140 1.5630 0.0000)  (3.6568 1.6059 0.0000)  (3.6951 1.4781 0.0000)  (3.5523 1.4353 0.0000) 
 (3.5523 1.4353 0.0000)  (3.6951 1.4781 0.0000)  (3.7334 1.3504 0.0000)  (3.5906 1.3076 0.0000) 
 (3.5906 1.3076 0.0000)  (3.7334 1.3504 0.0000)  (3.7718 1.2227 0.0000)  (3.6289 1.1799 0.0000) 
 (3.6289 1.1799 0.0000)  (3.7718 1.2227 0.0000)  (3.7832 1.1844 0.0000)  (3.6404 1.1416 0.0000) 
 (3.6453 1.6442 0.0000)  (3.7882 1.6870 0.0000)  (3.7997 1.6487 0.0000)  (3.6568 1.6059 0.0000) 
 (3.6568 1.6059 0.0000)  (3.7997 1.6487 0.0000)  (3.8380 1.5210 0.0000)  (3.6951 1.4781 0.0000) 
 (3.6951 1.4781 0.0000)  (3.8380 1.5210 0.0000)  (3.8763 1.3933 0.0000)  (3.7334 1.3504 0.0000) 
 (3.7334 1.3504 0.0000)  (3.8763 1.3933 0.0000)  (3.9146 1.2656 0.0000)  (3.7718 1.2227 0.0000) 
 (3.7718 1.2227 0.0000)  (3.9146 1.2656 0.0000)  (3.9261 1.2273 0.0000)  (3.7832 1.1844 0.0000) 
 (3.7882 1.6870 0.0000)  (3.9310 1.7299 0.0000)  (3.9425 1.6916 0.0000)  (3.7997 1.6487 0.0000) 
