element_index  cx cy cz volume deltaZ
279  2.6543 0.76903 0.0000 0.0000 0.0000
280  2.8839 0.67664 0.0000 0.0000 0.0000
281  3.0734 0.86606 0.0000 0.0000 0.0000
282  3.0734 1.1339 0.0000 0.0000 0.0000
283  2.8839 1.3234 0.0000 0.0000 0.0000
284  2.6161 1.3234 0.0000 0.0000 0.0000
285  2.4266 1.1339 0.0000 0.0000 0.0000
286  2.4266 0.86606 0.0000 0.0000 0.0000
287  2.6161 0.67664 0.0000 0.0000 0.0000
288  2.8378 0.55865 0.0000 0.0000 0.0000
289  3.0000 0.62584 0.0000 0.0000 0.0000
290  3.1242 0.74999 0.0000 0.0000 0.0000
291  3.1914 0.91221 0.0000 0.0000 0.0000
292  3.1914 1.0878 0.0000 0.0000 0.0000
293  3.1242 1.2500 0.0000 0.0000 0.0000
294  3.0000 1.3742 0.0000 0.0000 0.0000
295  2.8378 1.4414 0.0000 0.0000 0.0000
296  2.6622 1.4414 0.0000 0.0000 0.0000
297  2.5000 1.3742 0.0000 0.0000 0.0000
298  2.3758 1.2500 0.0000 0.0000 0.0000
299  2.3086 1.0878 0.0000 0.0000 0.0000
300  2.3086 0.91221 0.0000 0.0000 0.0000
301  2.3758 0.74999 0.0000 0.0000 0.0000
302  2.5000 0.62584 0.0000 0.0000 0.0000
303  2.6622 0.55865 0.0000 0.0000 0.0000
304  2.9000 1.0000 0.0000 0.0000 0.0000
305  2.8000 1.0000 0.0000 0.0000 0.0000
306  2.9561 0.89393 0.0000 0.0000 0.0000
307  2.9561 1.1061 0.0000 0.0000 0.0000
308  2.7439 1.1061 0.0000 0.0000 0.0000
309  2.7439 0.89393 0.0000 0.0000 0.0000
310  2.9457 0.76903 0.0000 0.0000 0.0000
311  3.0810 0.90433 0.0000 0.0000 0.0000
312  3.0810 1.0957 0.0000 0.0000 0.0000
313  2.9457 1.2310 0.0000 0.0000 0.0000
314  2.7543 1.2310 0.0000 0.0000 0.0000
315  2.6190 1.0957 0.0000 0.0000 0.0000
316  2.6190 0.90433 0.0000 0.0000 0.0000
317  2.7543 0.76903 0.0000 0.0000 0.0000
318  2.9839 0.67664 0.0000 0.0000 0.0000
319  3.1734 0.86606 0.0000 0.0000 0.0000
320  3.1734 1.1339 0.0000 0.0000 0.0000
321  2.9839 1.3234 0.0000 0.0000 0.0000
322  2.7161 1.3234 0.0000 0.0000 0.0000
323  2.5266 1.1339 0.0000 0.0000 0.0000
324  2.5266 0.86606 0.0000 0.0000 0.0000
325  2.7161 0.67664 0.0000 0.0000 0.0000
326  2.9378 0.55865 0.0000 0.0000 0.0000
327  3.1000 0.62584 0.0000 0.0000 0.0000
328  3.2242 0.74999 0.0000 0.0000 0.0000
329  3.2914 0.91221 0.0000 0.0000 0.0000
330  3.2914 1.0878 0.0000 0.0000 0.0000
331  3.2242 1.2500 0.0000 0.0000 0.0000
332  3.1000 1.3742 0.0000 0.0000 0.0000
333  2.9378 1.4414 0.0000 0.0000 0.0000
334  2.7622 1.4414 0.0000 0.0000 0.0000
335  2.6000 1.3742 0.0000 0.0000 0.0000
336  2.4758 1.2500 0.0000 0.0000 0.0000
337  2.4086 1.0878 0.0000 0.0000 0.0000
338  2.4086 0.91221 0.0000 0.0000 0.0000
339  2.4758 0.74999 0.0000 0.0000 0.0000
340  2.6000 0.62584 0.0000 0.0000 0.0000
341  2.7622 0.55865 0.0000 0.0000 0.0000
342  3.0000 1.0000 0.0000 0.0000 0.0000
343  2.9000 1.0000 0.0000 0.0000 0.0000
344  3.0561 0.89393 0.0000 0.0000 0.0000
345  3.0561 1.1061 0.0000 0.0000 0.0000
346  2.8439 1.1061 0.0000 0.0000 0.0000
347  2.8439 0.89393 0.0000 0.0000 0.0000
348  3.0457 0.76903 0.0000 0.0000 0.0000
349  3.1810 0.90433 0.0000 0.0000 0.0000
350  3.1810 1.0957 0.0000 0.0000 0.0000
351  3.0457 1.2310 0.0000 0.0000 0.0000
352  2.8543 1.2310 0.0000 0.0000 0.0000
353  2.7190 1.0957 0.0000 0.0000 0.0000
354  2.7190 0.90433 0.0000 0.0000 0.0000
355  2.8543 0.76903 0.0000 0.0000 0.0000
356  3.0839 0.67664 0.0000 0.0000 0.0000
357  3.2734 0.86606 0.0000 0.0000 0.0000
358  3.2734 1.1339 0.0000 0.0000 0.0000
359  3.0839 1.3234 0.0000 0.0000 0.0000
360  2.8161 1.3234 0.0000 0.0000 0.0000
361  2.6266 1.1339 0.0000 0.0000 0.0000
362  2.6266 0.86606 0.0000 0.0000 0.0000
363  2.8161 0.67664 0.0000 0.0000 0.0000
364  3.0378 0.55865 0.0000 0.0000 0.0000
365  3.2000 0.62584 0.0000 0.0000 0.0000
366  3.3242 0.74999 0.0000 0.0000 0.0000
367  3.3914 0.91221 0.0000 0.0000 0.0000
368  3.3914 1.0878 0.0000 0.0000 0.0000
369  3.3242 1.2500 0.0000 0.0000 0.0000
370  3.2000 1.3742 0.0000 0.0000 0.0000
371  3.0378 1.4414 0.0000 0.0000 0.0000
372  2.8622 1.4414 0.0000 0.0000 0.0000
373  2.7000 1.3742 0.0000 0.0000 0.0000
374  2.5758 1.2500 0.0000 0.0000 0.0000
375  2.5086 1.0878 0.0000 0.0000 0.0000
376  2.5086 0.91221 0.0000 0.0000 0.0000
377  2.5758 0.74999 0.0000 0.0000 0.0000
378  2.7000 0.62584 0.0000 0.0000 0.0000
379  2.8622 0.55865 0.0000 0.0000 0.0000
380  3.1175 0.69217 0.0000 0.0000 0.0000
381  3.0189 0.69874 0.0000 0.0000 0.0000
382  3.1658 0.58385 0.0000 0.0000 0.0000
383  3.1798 0.79311 0.0000 0.0000 0.0000
384  2.9705 0.80706 0.0000 0.0000 0.0000
385  2.9566 0.59780 0.0000 0.0000 0.0000
386  3.3009 0.67994 0.0000 0.0000 0.0000
387  3.1082 0.69279 0.0000 0.0000 0.0000
388  3.4350 0.67100 0.0000 0.0000 0.0000
389  3.2468 0.68355 0.0000 0.0000 0.0000
390  3.5691 0.66206 0.0000 0.0000 0.0000
391  3.3854 0.67430 0.0000 0.0000 0.0000
392  3.7032 0.65312 0.0000 0.0000 0.0000
393  3.5241 0.66506 0.0000 0.0000 0.0000
394  3.8373 0.64418 0.0000 0.0000 0.0000
395  3.6627 0.65582 0.0000 0.0000 0.0000
396  3.9714 0.63524 0.0000 0.0000 0.0000
397  3.8013 0.64658 0.0000 0.0000 0.0000
398  4.1055 0.62630 0.0000 0.0000 0.0000
399  3.9400 0.63734 0.0000 0.0000 0.0000
400  4.2396 0.61736 0.0000 0.0000 0.0000
401  4.0786 0.62809 0.0000 0.0000 0.0000
402  4.3737 0.60842 0.0000 0.0000 0.0000
403  4.2172 0.61885 0.0000 0.0000 0.0000
404  4.5078 0.59948 0.0000 0.0000 0.0000
405  4.3559 0.60961 0.0000 0.0000 0.0000
406  4.6419 0.59054 0.0000 0.0000 0.0000
407  4.4945 0.60037 0.0000 0.0000 0.0000
408  4.7760 0.58160 0.0000 0.0000 0.0000
409  4.6331 0.59113 0.0000 0.0000 0.0000
410  4.9101 0.57266 0.0000 0.0000 0.0000
411  4.7717 0.58188 0.0000 0.0000 0.0000
412  5.0442 0.56372 0.0000 0.0000 0.0000
413  4.9104 0.57264 0.0000 0.0000 0.0000
414  5.1783 0.55478 0.0000 0.0000 0.0000
415  5.0490 0.56340 0.0000 0.0000 0.0000
416  5.3124 0.54584 0.0000 0.0000 0.0000
417  5.1876 0.55416 0.0000 0.0000 0.0000
418  5.4465 0.53690 0.0000 0.0000 0.0000
419  5.3263 0.54492 0.0000 0.0000 0.0000
420  5.5806 0.52796 0.0000 0.0000 0.0000
421  5.4649 0.53567 0.0000 0.0000 0.0000
422  5.7146 0.51902 0.0000 0.0000 0.0000
423  5.6035 0.52643 0.0000 0.0000 0.0000
424  5.8487 0.51008 0.0000 0.0000 0.0000
425  5.7422 0.51719 0.0000 0.0000 0.0000
426  5.9828 0.50114 0.0000 0.0000 0.0000
427  5.8808 0.50795 0.0000 0.0000 0.0000
428  3.1398 1.2420 0.0000 0.0000 0.0000
429  3.0030 1.2009 0.0000 0.0000 0.0000
430  3.2601 1.1198 0.0000 0.0000 0.0000
431  3.1730 1.4101 0.0000 0.0000 0.0000
432  2.8828 1.3230 0.0000 0.0000 0.0000
433  2.9698 1.0328 0.0000 0.0000 0.0000
434  3.2759 1.2828 0.0000 0.0000 0.0000
435  3.1527 1.2458 0.0000 0.0000 0.0000
436  3.3841 1.1729 0.0000 0.0000 0.0000
437  3.3057 1.4341 0.0000 0.0000 0.0000
438  3.0445 1.3557 0.0000 0.0000 0.0000
