cctdif2d
volumeGrid 386
 (3.0270 1.3278 0.24349)  (3.1622 1.3421 0.27334)  (3.1840 1.4428 0.16846)  (3.0514 1.4403 0.12642) 
 (3.0514 1.4403 0.12642)  (3.1840 1.4428 0.16846)  (3.2367 1.4534 0.031543)  (3.1102 1.4520 -0.026417) 
 (3.1102 1.4520 -0.026417)  (3.2367 1.4534 0.031543)  (3.2956 1.3687 -0.073339)  (3.1759 1.3576 -0.14349) 
 (3.1759 1.3576 -0.14349)  (3.2956 1.3687 -0.073339)  (3.3331 1.2286 -0.097113)  (3.2178 1.2011 -0.17003) 
 (3.2178 1.2011 -0.17003)  (3.3331 1.2286 -0.097113)  (3.3318 1.0984 -0.028657)  (3.2163 1.0558 -0.093617) 
 (3.2163 1.0558 -0.093617)  (3.3318 1.0984 -0.028657)  (3.2922 1.0392 0.10000)  (3.1721 0.98966 0.050000) 
 (3.2133 1.2923 0.17050)  (3.3434 1.3114 0.21071)  (3.3901 1.3207 0.089289)  (3.2676 1.3031 0.029497) 
 (3.2922 1.0392 0.10000)  (3.4123 1.0887 0.15000)  (3.3347 1.1701 0.30318)  (3.2044 1.1313 0.27334) 
 (3.2044 1.1313 0.27334)  (3.3347 1.1701 0.30318)  (3.2975 1.3564 0.30318)  (3.1622 1.3421 0.27334) 
 (3.1622 1.3421 0.27334)  (3.2975 1.3564 0.30318)  (3.3377 1.4613 0.15000)  (3.2078 1.4608 0.10000) 
 (3.2078 1.4608 0.10000)  (3.3377 1.4613 0.15000)  (3.4153 1.3799 -0.0031829)  (3.2956 1.3687 -0.073339) 
 (3.2956 1.3687 -0.073339)  (3.4153 1.3799 -0.0031829)  (3.4525 1.1936 -0.0031829)  (3.3378 1.1579 -0.073339) 
 (3.3378 1.1579 -0.073339)  (3.4525 1.1936 -0.0031829)  (3.4123 1.0887 0.15000)  (3.2922 1.0392 0.10000) 
 (3.3434 1.3114 0.21071)  (3.4735 1.3305 0.25092)  (3.5127 1.3384 0.14908)  (3.3901 1.3207 0.089289) 
 (3.4123 1.0887 0.15000)  (3.5324 1.1382 0.20000)  (3.4538 1.2388 0.34609)  (3.3218 1.2045 0.31822) 
 (3.3218 1.2045 0.31822)  (3.4538 1.2388 0.34609)  (3.4391 1.4240 0.29029)  (3.3049 1.4177 0.25397) 
 (3.3049 1.4177 0.25397)  (3.4391 1.4240 0.29029)  (3.5085 1.4378 0.10971)  (3.3848 1.4337 0.046032) 
 (3.3848 1.4337 0.046032)  (3.5085 1.4378 0.10971)  (3.5662 1.2612 0.053911)  (3.4512 1.2304 -0.018223) 
 (3.4512 1.2304 -0.018223)  (3.5662 1.2612 0.053911)  (3.5324 1.1382 0.20000)  (3.4123 1.0887 0.15000) 
 (3.4735 1.3305 0.25092)  (3.6036 1.3497 0.29113)  (3.6353 1.3560 0.20887)  (3.5127 1.3384 0.14908) 
 (3.5324 1.1382 0.20000)  (3.6525 1.1877 0.25000)  (3.5858 1.2730 0.37395)  (3.4538 1.2388 0.34609) 
 (3.4538 1.2388 0.34609)  (3.5858 1.2730 0.37395)  (3.5733 1.4302 0.32661)  (3.4391 1.4240 0.29029) 
 (3.4391 1.4240 0.29029)  (3.5733 1.4302 0.32661)  (3.6323 1.4420 0.17339)  (3.5085 1.4378 0.10971) 
 (3.5085 1.4378 0.10971)  (3.6323 1.4420 0.17339)  (3.6812 1.2921 0.12605)  (3.5662 1.2612 0.053911) 
 (3.5662 1.2612 0.053911)  (3.6812 1.2921 0.12605)  (3.6525 1.1877 0.25000)  (3.5324 1.1382 0.20000) 
 (3.6036 1.3497 0.29113)  (3.7337 1.3688 0.33133)  (3.7578 1.3736 0.26867)  (3.6353 1.3560 0.20887) 
 (3.6525 1.1877 0.25000)  (3.7726 1.2372 0.30000)  (3.7088 1.3418 0.40706)  (3.5749 1.3150 0.38033) 
 (3.5749 1.3150 0.38033)  (3.7088 1.3418 0.40706)  (3.7274 1.4628 0.30000)  (3.5975 1.4623 0.25000) 
