element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
90  3.5455 0.66364 -0.14682 3.6818 0.65455 -0.14227 3.6724 0.51259 -3.4847e-17 3.5357 0.51714 -3.5960e-17 0.00069141 0.0000
91  3.6837 0.68346 0.045133 3.8200 0.67314 0.043221 3.8200 0.67314 -0.043221 3.6837 0.68346 -0.045133 0.0015070 0.0000
92  3.6724 0.51259 0.0000 3.8090 0.50803 0.0000 3.8182 0.64545 0.13773 3.6818 0.65455 0.14227 0.00066967 0.0000
93  3.6818 0.65455 0.14227 3.8182 0.64545 0.13773 3.8273 0.78288 1.6867e-17 3.6913 0.79650 1.7423e-17 0.00066967 0.0000
94  3.6913 0.79650 1.7423e-17 3.8273 0.78288 1.6867e-17 3.8182 0.64545 -0.13773 3.6818 0.65455 -0.14227 0.00066967 0.0000
95  3.6818 0.65455 -0.14227 3.8182 0.64545 -0.13773 3.8090 0.50803 -3.3733e-17 3.6724 0.51259 -3.4847e-17 0.00066967 0.0000
96  3.8200 0.67314 0.043221 3.9563 0.66283 0.041309 3.9563 0.66283 -0.041309 3.8200 0.67314 -0.043221 0.0013794 0.0000
97  3.8090 0.50803 0.0000 3.9457 0.50348 0.0000 3.9545 0.63636 0.13318 3.8182 0.64545 0.13773 0.00064792 0.0000
98  3.8182 0.64545 0.13773 3.9545 0.63636 0.13318 3.9634 0.76925 1.6310e-17 3.8273 0.78288 1.6867e-17 0.00064792 0.0000
99  3.8273 0.78288 1.6867e-17 3.9634 0.76925 1.6310e-17 3.9545 0.63636 -0.13318 3.8182 0.64545 -0.13773 0.00064792 0.0000
100  3.8182 0.64545 -0.13773 3.9545 0.63636 -0.13318 3.9457 0.50348 -3.2620e-17 3.8090 0.50803 -3.3733e-17 0.00064792 0.0000
101  3.9563 0.66283 0.041309 4.0926 0.65251 0.039396 4.0926 0.65251 -0.039396 3.9563 0.66283 -0.041309 0.0012574 0.0000
102  3.9457 0.50348 0.0000 4.0824 0.49892 0.0000 4.0909 0.62727 0.12864 3.9545 0.63636 0.13318 0.00062618 0.0000
103  3.9545 0.63636 0.13318 4.0909 0.62727 0.12864 4.0995 0.75562 1.5753e-17 3.9634 0.76925 1.6310e-17 0.00062618 0.0000
104  3.9634 0.76925 1.6310e-17 4.0995 0.75562 1.5753e-17 4.0909 0.62727 -0.12864 3.9545 0.63636 -0.13318 0.00062618 0.0000
105  3.9545 0.63636 -0.13318 4.0909 0.62727 -0.12864 4.0824 0.49892 -3.1507e-17 3.9457 0.50348 -3.2620e-17 0.00062618 0.0000
106  4.0926 0.65251 0.039396 4.2289 0.64220 0.037484 4.2289 0.64220 -0.037484 4.0926 0.65251 -0.039396 0.0011410 0.0000
107  4.0824 0.49892 0.0000 4.2190 0.49437 0.0000 4.2273 0.61818 0.12409 4.0909 0.62727 0.12864 0.00060444 0.0000
108  4.0909 0.62727 0.12864 4.2273 0.61818 0.12409 4.2355 0.74200 1.5197e-17 4.0995 0.75562 1.5753e-17 0.00060444 0.0000
109  4.0995 0.75562 1.5753e-17 4.2355 0.74200 1.5197e-17 4.2273 0.61818 -0.12409 4.0909 0.62727 -0.12864 0.00060444 0.0000
110  4.0909 0.62727 -0.12864 4.2273 0.61818 -0.12409 4.2190 0.49437 -3.0394e-17 4.0824 0.49892 -3.1507e-17 0.00060444 0.0000
111  4.2289 0.64220 0.037484 4.3652 0.63188 0.035571 4.3652 0.63188 -0.035571 4.2289 0.64220 -0.037484 0.0010303 0.0000
112  4.2190 0.49437 0.0000 4.3557 0.48981 0.0000 4.3636 0.60909 0.11955 4.2273 0.61818 0.12409 0.00058270 0.0000
113  4.2273 0.61818 0.12409 4.3636 0.60909 0.11955 4.3716 0.72837 1.4640e-17 4.2355 0.74200 1.5197e-17 0.00058270 0.0000
114  4.2355 0.74200 1.5197e-17 4.3716 0.72837 1.4640e-17 4.3636 0.60909 -0.11955 4.2273 0.61818 -0.12409 0.00058270 0.0000
115  4.2273 0.61818 -0.12409 4.3636 0.60909 -0.11955 4.3557 0.48981 -2.9280e-17 4.2190 0.49437 -3.0394e-17 0.00058270 0.0000
116  4.3652 0.63188 0.035571 4.5014 0.62156 0.033659 4.5014 0.62156 -0.033659 4.3652 0.63188 -0.035571 0.00092530 0.0000
117  4.3557 0.48981 0.0000 4.4924 0.48525 0.0000 4.5000 0.60000 0.11500 4.3636 0.60909 0.11955 0.00056095 0.0000
118  4.3636 0.60909 0.11955 4.5000 0.60000 0.11500 4.5076 0.71475 1.4083e-17 4.3716 0.72837 1.4640e-17 0.00056095 0.0000
119  4.3716 0.72837 1.4640e-17 4.5076 0.71475 1.4083e-17 4.5000 0.60000 -0.11500 4.3636 0.60909 -0.11955 0.00056095 0.0000
120  4.3636 0.60909 -0.11955 4.5000 0.60000 -0.11500 4.4924 0.48525 -2.8167e-17 4.3557 0.48981 -2.9280e-17 0.00056095 0.0000
121  4.5014 0.62156 0.033659 4.6377 0.61125 0.031746 4.6377 0.61125 -0.031746 4.5014 0.62156 -0.033659 0.00082591 0.0000
122  4.4924 0.48538 0.0054257 4.6290 0.48082 0.0052112 4.6397 0.64145 0.098156 4.5035 0.65262 0.10219 0.00071895 0.0000
123  4.5041 0.66200 0.096769 4.6403 0.65046 0.092944 4.6403 0.65046 -0.092944 4.5041 0.66200 -0.096769 0.00071895 0.0000
124  4.5035 0.65262 -0.10219 4.6397 0.64145 -0.098156 4.6290 0.48082 -0.0052112 4.4924 0.48538 -0.0054257 0.00071895 0.0000
125  4.6377 0.61125 0.031746 4.7740 0.60093 0.029834 4.7740 0.60093 -0.029834 4.6377 0.61125 -0.031746 0.00073216 0.0000
