element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
93  4.2406 0.81774 0.0000 4.3769 0.80865 0.0000 4.3681 0.67561 0.0000 4.2317 0.68470 0.0000 0.0024296 0.13333
94  4.2317 0.68470 -0.13333 4.3681 0.67561 -0.13333 4.3592 0.54257 -0.13333 4.2228 0.55166 -0.13333 0.0024296 0.13333
95  4.2317 0.68470 0.0000 4.3681 0.67561 0.0000 4.3592 0.54257 0.0000 4.2228 0.55166 0.0000 0.0024296 0.13333
96  4.2317 0.68470 0.13333 4.3681 0.67561 0.13333 4.3592 0.54257 0.13333 4.2228 0.55166 0.13333 0.0024296 0.13333
97  4.2228 0.55166 0.0000 4.3592 0.54257 0.0000 4.3503 0.40953 0.0000 4.2140 0.41862 0.0000 0.0024296 0.13333
98  4.3769 0.80865 0.0000 4.5133 0.79956 0.0000 4.5044 0.66652 0.0000 4.3681 0.67561 0.0000 0.0024296 0.13333
99  4.3681 0.67561 -0.13333 4.5044 0.66652 -0.13333 4.4956 0.53348 -0.13333 4.3592 0.54257 -0.13333 0.0024296 0.13333
100  4.3681 0.67561 0.0000 4.5044 0.66652 0.0000 4.4956 0.53348 0.0000 4.3592 0.54257 0.0000 0.0024296 0.13333
101  4.3681 0.67561 0.13333 4.5044 0.66652 0.13333 4.4956 0.53348 0.13333 4.3592 0.54257 0.13333 0.0024296 0.13333
102  4.3592 0.54257 0.0000 4.4956 0.53348 0.0000 4.4867 0.40044 0.0000 4.3503 0.40953 0.0000 0.0024296 0.13333
103  4.5133 0.79956 0.0000 4.6497 0.79047 0.0000 4.6408 0.65743 0.0000 4.5044 0.66652 0.0000 0.0024296 0.13333
104  4.5044 0.66652 -0.13333 4.6408 0.65743 -0.13333 4.6319 0.52439 -0.13333 4.4956 0.53348 -0.13333 0.0024296 0.13333
105  4.5044 0.66652 0.0000 4.6408 0.65743 0.0000 4.6319 0.52439 0.0000 4.4956 0.53348 0.0000 0.0024296 0.13333
106  4.5044 0.66652 0.13333 4.6408 0.65743 0.13333 4.6319 0.52439 0.13333 4.4956 0.53348 0.13333 0.0024296 0.13333
107  4.4956 0.53348 0.0000 4.6319 0.52439 0.0000 4.6231 0.39135 0.0000 4.4867 0.40044 0.0000 0.0024296 0.13333
108  4.6497 0.79047 0.0000 4.7860 0.78138 0.0000 4.7772 0.64834 0.0000 4.6408 0.65743 0.0000 0.0024296 0.13333
109  4.6408 0.65743 -0.13333 4.7772 0.64834 -0.13333 4.7683 0.51530 -0.13333 4.6319 0.52439 -0.13333 0.0024296 0.13333
110  4.6408 0.65743 0.0000 4.7772 0.64834 0.0000 4.7683 0.51530 0.0000 4.6319 0.52439 0.0000 0.0024296 0.13333
111  4.6408 0.65743 0.13333 4.7772 0.64834 0.13333 4.7683 0.51530 0.13333 4.6319 0.52439 0.13333 0.0024296 0.13333
112  4.6319 0.52439 0.0000 4.7683 0.51530 0.0000 4.7594 0.38226 0.0000 4.6231 0.39135 0.0000 0.0024296 0.13333
113  4.7860 0.78138 0.0000 4.9224 0.77228 0.0000 4.9135 0.63925 0.0000 4.7772 0.64834 0.0000 0.0024296 0.13333
114  4.7772 0.64834 -0.13333 4.9135 0.63925 -0.13333 4.9047 0.50621 -0.13333 4.7683 0.51530 -0.13333 0.0024296 0.13333
115  4.7772 0.64834 0.0000 4.9135 0.63925 0.0000 4.9047 0.50621 0.0000 4.7683 0.51530 0.0000 0.0024296 0.13333
116  4.7772 0.64834 0.13333 4.9135 0.63925 0.13333 4.9047 0.50621 0.13333 4.7683 0.51530 0.13333 0.0024296 0.13333
117  4.7683 0.51530 0.0000 4.9047 0.50621 0.0000 4.8958 0.37317 0.0000 4.7594 0.38226 0.0000 0.0024296 0.13333
118  4.9224 0.77228 0.0000 5.0588 0.76319 0.0000 5.0499 0.63016 0.0000 4.9135 0.63925 0.0000 0.0024296 0.13333
119  4.9135 0.63925 -0.13333 5.0499 0.63016 -0.13333 5.0410 0.49712 -0.13333 4.9047 0.50621 -0.13333 0.0024296 0.13333
120  4.9135 0.63925 0.0000 5.0499 0.63016 0.0000 5.0410 0.49712 0.0000 4.9047 0.50621 0.0000 0.0024296 0.13333
121  4.9135 0.63925 0.13333 5.0499 0.63016 0.13333 5.0410 0.49712 0.13333 4.9047 0.50621 0.13333 0.0024296 0.13333
122  4.9047 0.50621 0.0000 5.0410 0.49712 0.0000 5.0322 0.36408 0.0000 4.8958 0.37317 0.0000 0.0024296 0.13333
123  5.0499 0.63016 0.0000 5.1863 0.62106 0.0000 5.1774 0.48803 0.0000 5.0410 0.49712 0.0000 0.0024296 0.13333
124  5.1863 0.62106 0.0000 5.3226 0.61197 0.0000 5.3137 0.47894 0.0000 5.1774 0.48803 0.0000 0.0024296 0.13333
125  5.3226 0.61197 0.0000 5.4590 0.60288 0.0000 5.4501 0.46984 0.0000 5.3137 0.47894 0.0000 0.0024296 0.13333
126  5.4590 0.60288 0.0000 5.5953 0.59379 0.0000 5.5865 0.46075 0.0000 5.4501 0.46984 0.0000 0.0024296 0.13333
127  5.5953 0.59379 0.0000 5.7317 0.58470 0.0000 5.7228 0.45166 0.0000 5.5865 0.46075 0.0000 0.0024296 0.13333
128  5.7317 0.58470 0.0000 5.8681 0.57561 0.0000 5.8592 0.44257 0.0000 5.7228 0.45166 0.0000 0.0024296 0.13333
129  5.8681 0.57561 0.0000 6.0044 0.56652 0.0000 5.9956 0.43348 0.0000 5.8592 0.44257 0.0000 0.0024296 0.13333
130  2.9300 1.5259 0.025000 3.0643 1.5528 0.025000 3.0904 1.4220 0.025000 2.9561 1.3952 0.025000 0.0024343 0.13333
131  2.9561 1.3952 -0.10833 3.0904 1.4220 -0.10833 3.1166 1.2913 -0.10833 2.9823 1.2644 -0.10833 0.0024343 0.13333
132  2.9561 1.3952 0.025000 3.0904 1.4220 0.025000 3.1166 1.2913 0.025000 2.9823 1.2644 0.025000 0.0024343 0.13333
133  2.9561 1.3952 0.15833 3.0904 1.4220 0.15833 3.1166 1.2913 0.15833 2.9823 1.2644 0.15833 0.0024343 0.13333
134  2.9823 1.2644 -0.24167 3.1166 1.2913 -0.24167 3.1427 1.1606 -0.24167 3.0084 1.1337 -0.24167 0.0024343 0.13333
135  2.9823 1.2644 -0.10833 3.1166 1.2913 -0.10833 3.1427 1.1606 -0.10833 3.0084 1.1337 -0.10833 0.0024343 0.13333
136  2.9823 1.2644 0.025000 3.1166 1.2913 0.025000 3.1427 1.1606 0.025000 3.0084 1.1337 0.025000 0.0024343 0.13333
137  2.9823 1.2644 0.15833 3.1166 1.2913 0.15833 3.1427 1.1606 0.15833 3.0084 1.1337 0.15833 0.0024343 0.13333
138  2.9823 1.2644 0.29167 3.1166 1.2913 0.29167 3.1427 1.1606 0.29167 3.0084 1.1337 0.29167 0.0024343 0.13333
139  3.0084 1.1337 -0.10833 3.1427 1.1606 -0.10833 3.1689 1.0298 -0.10833 3.0346 1.0030 -0.10833 0.0024343 0.13333
140  3.0084 1.1337 0.025000 3.1427 1.1606 0.025000 3.1689 1.0298 0.025000 3.0346 1.0030 0.025000 0.0024343 0.13333
141  3.0084 1.1337 0.15833 3.1427 1.1606 0.15833 3.1689 1.0298 0.15833 3.0346 1.0030 0.15833 0.0024343 0.13333
142  3.0346 1.0030 0.025000 3.1689 1.0298 0.025000 3.1950 0.89907 0.025000 3.0607 0.87221 0.025000 0.0024343 0.13333
143  3.0811 1.4202 -0.058333 3.2154 1.4470 -0.058333 3.2416 1.3163 -0.058333 3.1073 1.2894 -0.058333 0.0024343 0.13333
144  3.0811 1.4202 0.075000 3.2154 1.4470 0.075000 3.2416 1.3163 0.075000 3.1073 1.2894 0.075000 0.0024343 0.13333
145  3.0811 1.4202 0.20833 3.2154 1.4470 0.20833 3.2416 1.3163 0.20833 3.1073 1.2894 0.20833 0.0024343 0.13333
146  3.1073 1.2894 -0.058333 3.2416 1.3163 -0.058333 3.2677 1.1856 -0.058333 3.1334 1.1587 -0.058333 0.0024343 0.13333
147  3.1073 1.2894 0.075000 3.2416 1.3163 0.075000 3.2677 1.1856 0.075000 3.1334 1.1587 0.075000 0.0024343 0.13333
148  3.1073 1.2894 0.20833 3.2416 1.3163 0.20833 3.2677 1.1856 0.20833 3.1334 1.1587 0.20833 0.0024343 0.13333
149  3.1334 1.1587 -0.058333 3.2677 1.1856 -0.058333 3.2939 1.0548 -0.058333 3.1596 1.0280 -0.058333 0.0024343 0.13333
150  3.1334 1.1587 0.075000 3.2677 1.1856 0.075000 3.2939 1.0548 0.075000 3.1596 1.0280 0.075000 0.0024343 0.13333
151  3.1334 1.1587 0.20833 3.2677 1.1856 0.20833 3.2939 1.0548 0.20833 3.1596 1.0280 0.20833 0.0024343 0.13333
152  3.2061 1.4452 -0.0083333 3.3404 1.4720 -0.0083333 3.3666 1.3413 -0.0083333 3.2323 1.3144 -0.0083333 0.0024343 0.13333
153  3.2061 1.4452 0.12500 3.3404 1.4720 0.12500 3.3666 1.3413 0.12500 3.2323 1.3144 0.12500 0.0024343 0.13333
154  3.2061 1.4452 0.25833 3.3404 1.4720 0.25833 3.3666 1.3413 0.25833 3.2323 1.3144 0.25833 0.0024343 0.13333
155  3.2323 1.3144 -0.0083333 3.3666 1.3413 -0.0083333 3.3927 1.2106 -0.0083333 3.2584 1.1837 -0.0083333 0.0024343 0.13333
156  3.2323 1.3144 0.12500 3.3666 1.3413 0.12500 3.3927 1.2106 0.12500 3.2584 1.1837 0.12500 0.0024343 0.13333
157  3.2323 1.3144 0.25833 3.3666 1.3413 0.25833 3.3927 1.2106 0.25833 3.2584 1.1837 0.25833 0.0024343 0.13333
158  3.2584 1.1837 -0.0083333 3.3927 1.2106 -0.0083333 3.4189 1.0798 -0.0083333 3.2846 1.0530 -0.0083333 0.0024343 0.13333
159  3.2584 1.1837 0.12500 3.3927 1.2106 0.12500 3.4189 1.0798 0.12500 3.2846 1.0530 0.12500 0.0024343 0.13333
160  3.2584 1.1837 0.25833 3.3927 1.2106 0.25833 3.4189 1.0798 0.25833 3.2846 1.0530 0.25833 0.0024343 0.13333
161  3.3311 1.4702 0.041667 3.4654 1.4970 0.041667 3.4916 1.3663 0.041667 3.3573 1.3394 0.041667 0.0024343 0.13333
162  3.3311 1.4702 0.17500 3.4654 1.4970 0.17500 3.4916 1.3663 0.17500 3.3573 1.3394 0.17500 0.0024343 0.13333
163  3.3311 1.4702 0.30833 3.4654 1.4970 0.30833 3.4916 1.3663 0.30833 3.3573 1.3394 0.30833 0.0024343 0.13333
164  3.3573 1.3394 0.041667 3.4916 1.3663 0.041667 3.5177 1.2356 0.041667 3.3834 1.2087 0.041667 0.0024343 0.13333
165  3.3573 1.3394 0.17500 3.4916 1.3663 0.17500 3.5177 1.2356 0.17500 3.3834 1.2087 0.17500 0.0024343 0.13333
166  3.3573 1.3394 0.30833 3.4916 1.3663 0.30833 3.5177 1.2356 0.30833 3.3834 1.2087 0.30833 0.0024343 0.13333
167  3.3834 1.2087 0.041667 3.5177 1.2356 0.041667 3.5439 1.1048 0.041667 3.4096 1.0780 0.041667 0.0024343 0.13333
168  3.3834 1.2087 0.17500 3.5177 1.2356 0.17500 3.5439 1.1048 0.17500 3.4096 1.0780 0.17500 0.0024343 0.13333
169  3.3834 1.2087 0.30833 3.5177 1.2356 0.30833 3.5439 1.1048 0.30833 3.4096 1.0780 0.30833 0.0024343 0.13333
170  3.4561 1.4952 0.22500 3.5904 1.5220 0.22500 3.6166 1.3913 0.22500 3.4823 1.3644 0.22500 0.0024343 0.13333
171  3.4823 1.3644 0.091667 3.6166 1.3913 0.091667 3.6427 1.2606 0.091667 3.5084 1.2337 0.091667 0.0024343 0.13333
172  3.4823 1.3644 0.22500 3.6166 1.3913 0.22500 3.6427 1.2606 0.22500 3.5084 1.2337 0.22500 0.0024343 0.13333
173  3.4823 1.3644 0.35833 3.6166 1.3913 0.35833 3.6427 1.2606 0.35833 3.5084 1.2337 0.35833 0.0024343 0.13333
174  3.5084 1.2337 0.22500 3.6427 1.2606 0.22500 3.6689 1.1298 0.22500 3.5346 1.1030 0.22500 0.0024343 0.13333
