time Vol_0_default_submembrane_pointA_Spc_a Vol_1_default_submembrane_Spc_a Vol_2_region1_submembrane_Spc_a Vol_3_region1_submembrane_Spc_a Vol_0_default_submembrane_pointA_Spc_b Vol_1_default_submembrane_Spc_b Vol_2_region1_submembrane_Spc_b Vol_3_region1_submembrane_Spc_b Vol_0_default_submembrane_pointA_Spc_c Vol_1_default_submembrane_Spc_c Vol_2_region1_submembrane_Spc_c Vol_3_region1_submembrane_Spc_c Vol_0_default_submembrane_pointA_Spc_d Vol_1_default_submembrane_Spc_d Vol_2_region1_submembrane_Spc_d Vol_3_region1_submembrane_Spc_d
9.1500 127 00 00 00 24 60 75 76 36 00 00 00 57 41 32 33 
9.2000 128 00 00 00 24 60 75 76 36 00 00 00 58 41 32 33 
9.2500 129 00 00 00 24 60 75 76 36 00 00 00 58 41 31 35 
9.3000 130 00 00 00 24 60 75 76 36 00 00 00 54 46 32 34 
9.3500 131 00 00 00 24 60 75 76 36 00 00 00 54 49 32 32 
9.4000 132 00 00 00 24 60 75 76 36 00 00 00 56 44 34 34 
9.4500 133 00 00 00 24 60 75 76 36 00 00 00 58 42 33 36 
9.5000 134 00 00 00 24 60 75 76 36 00 00 00 55 47 31 37 
9.5500 135 00 00 00 24 60 75 76 36 00 00 00 56 48 31 36 
9.6000 136 00 00 00 24 60 75 76 36 00 00 00 50 51 34 37 
9.6500 137 00 00 00 24 60 75 76 36 00 00 00 54 44 41 34 
9.7000 138 00 00 00 24 60 75 76 36 00 00 00 58 40 42 34 
9.7500 139 00 00 00 24 60 75 76 36 00 00 00 57 41 42 35 
9.8000 140 00 00 00 24 60 75 76 36 00 00 00 59 39 43 35 
9.8500 141 00 00 00 24 60 75 76 36 00 00 00 55 43 44 35 
9.9000 142 00 00 00 24 60 75 76 36 00 00 00 53 45 46 34 
9.9500 143 00 00 00 24 60 75 76 36 00 00 00 52 48 43 36 
10.000 144 00 00 00 24 60 75 76 36 00 00 00 50 53 37 40 
10.050 145 00 00 00 24 60 75 76 36 00 00 00 53 51 36 41 
10.100 146 00 00 00 24 60 75 76 36 00 00 00 54 50 36 42 
10.150 147 00 00 00 24 60 75 76 36 00 00 00 55 49 36 43 
10.200 148 00 00 00 24 60 75 76 36 00 00 00 57 48 37 42 
10.250 149 00 00 00 24 60 75 76 36 00 00 00 56 51 35 43 
10.300 150 00 00 00 24 60 75 76 36 00 00 00 54 53 38 41 
10.350 151 00 00 00 24 60 75 76 36 00 00 00 58 50 39 40 
10.400 152 00 00 00 24 60 75 76 36 00 00 00 57 51 40 40 
10.450 153 00 00 00 24 60 75 76 36 00 00 00 55 52 38 44 
10.500 154 00 00 00 24 60 75 76 36 00 00 00 56 56 34 44 
10.550 153 00 00 00 22 60 75 76 38 00 00 00 59 52 36 44 
10.600 154 00 00 00 22 60 75 76 38 00 00 00 60 51 36 45 
10.650 155 00 00 00 22 60 75 76 38 00 00 00 60 47 42 44 
10.700 156 00 00 00 22 60 75 76 38 00 00 00 60 48 43 43 
10.750 157 00 00 00 22 60 75 76 38 00 00 00 63 45 44 43 
10.800 157 00 00 00 21 60 75 76 39 00 00 00 55 54 46 41 
10.850 158 00 00 00 21 60 75 76 39 00 00 00 55 57 46 39 
10.900 159 00 00 00 21 60 75 76 39 00 00 00 55 57 45 41 
10.950 160 00 00 00 21 60 75 76 39 00 00 00 56 57 47 39 
