cctdif2d
volumeGrid 139
 (4.5044 0.66652 0.0000)  (4.6408 0.65743 0.0000)  (4.6319 0.52439 0.0000)  (4.4956 0.53348 0.0000) 
 (4.4956 0.53348 0.0000)  (4.6319 0.52439 0.0000)  (4.6231 0.39135 0.0000)  (4.4867 0.40044 0.0000) 
 (4.6497 0.79047 0.0000)  (4.7860 0.78138 0.0000)  (4.7772 0.64834 0.0000)  (4.6408 0.65743 0.0000) 
 (4.6408 0.65743 0.0000)  (4.7772 0.64834 0.0000)  (4.7683 0.51530 0.0000)  (4.6319 0.52439 0.0000) 
 (4.6319 0.52439 0.0000)  (4.7683 0.51530 0.0000)  (4.7594 0.38226 0.0000)  (4.6231 0.39135 0.0000) 
 (4.7860 0.78138 0.0000)  (4.9224 0.77228 0.0000)  (4.9135 0.63925 0.0000)  (4.7772 0.64834 0.0000) 
 (4.7772 0.64834 0.0000)  (4.9135 0.63925 0.0000)  (4.9047 0.50621 0.0000)  (4.7683 0.51530 0.0000) 
 (4.7683 0.51530 0.0000)  (4.9047 0.50621 0.0000)  (4.8958 0.37317 0.0000)  (4.7594 0.38226 0.0000) 
 (4.9224 0.77228 0.0000)  (5.0588 0.76319 0.0000)  (5.0499 0.63016 0.0000)  (4.9135 0.63925 0.0000) 
 (4.9135 0.63925 0.0000)  (5.0499 0.63016 0.0000)  (5.0410 0.49712 0.0000)  (4.9047 0.50621 0.0000) 
 (4.9047 0.50621 0.0000)  (5.0410 0.49712 0.0000)  (5.0322 0.36408 0.0000)  (4.8958 0.37317 0.0000) 
 (5.0499 0.63016 0.0000)  (5.1863 0.62106 0.0000)  (5.1774 0.48803 0.0000)  (5.0410 0.49712 0.0000) 
 (5.1863 0.62106 0.0000)  (5.3226 0.61197 0.0000)  (5.3137 0.47894 0.0000)  (5.1774 0.48803 0.0000) 
 (5.3226 0.61197 0.0000)  (5.4590 0.60288 0.0000)  (5.4501 0.46984 0.0000)  (5.3137 0.47894 0.0000) 
 (5.4590 0.60288 0.0000)  (5.5953 0.59379 0.0000)  (5.5865 0.46075 0.0000)  (5.4501 0.46984 0.0000) 
 (5.5953 0.59379 0.0000)  (5.7317 0.58470 0.0000)  (5.7228 0.45166 0.0000)  (5.5865 0.46075 0.0000) 
 (5.7317 0.58470 0.0000)  (5.8681 0.57561 0.0000)  (5.8592 0.44257 0.0000)  (5.7228 0.45166 0.0000) 
 (5.8681 0.57561 0.0000)  (6.0044 0.56652 0.0000)  (5.9956 0.43348 0.0000)  (5.8592 0.44257 0.0000) 
 (2.9506 1.5296 0.0000)  (3.0839 1.5496 0.0000)  (3.1037 1.4178 0.0000)  (2.9703 1.3978 0.0000) 
 (2.9703 1.3978 0.0000)  (3.1037 1.4178 0.0000)  (3.1234 1.2859 0.0000)  (2.9901 1.2659 0.0000) 
 (2.9901 1.2659 0.0000)  (3.1234 1.2859 0.0000)  (3.1432 1.1541 0.0000)  (3.0099 1.1341 0.0000) 
 (3.0099 1.1341 0.0000)  (3.1432 1.1541 0.0000)  (3.1630 1.0222 0.0000)  (3.0297 1.0022 0.0000) 
 (3.0297 1.0022 0.0000)  (3.1630 1.0222 0.0000)  (3.1828 0.89035 0.0000)  (3.0494 0.87035 0.0000) 
 (3.0839 1.5496 0.0000)  (3.2172 1.5696 0.0000)  (3.2370 1.4378 0.0000)  (3.1037 1.4178 0.0000) 
 (3.1037 1.4178 0.0000)  (3.2370 1.4378 0.0000)  (3.2568 1.3059 0.0000)  (3.1234 1.2859 0.0000) 
 (3.1234 1.2859 0.0000)  (3.2568 1.3059 0.0000)  (3.2766 1.1741 0.0000)  (3.1432 1.1541 0.0000) 
