cctdif2d
volumeGrid 10977
 (-8.3267e-17 1.5000 -4.2857)  (0.43478 1.5000 -4.2857)  (0.43478 1.0714 -4.2857)  (-5.5511e-17 1.0714 -4.2857) 
 (-8.3267e-17 1.5000 -3.8571)  (0.43478 1.5000 -3.8571)  (0.43478 1.0714 -3.8571)  (-5.5511e-17 1.0714 -3.8571) 
 (-8.3267e-17 1.5000 -3.4286)  (0.43478 1.5000 -3.4286)  (0.43478 1.0714 -3.4286)  (-5.5511e-17 1.0714 -3.4286) 
 (-8.3267e-17 1.5000 -3.0000)  (0.43478 1.5000 -3.0000)  (0.43478 1.0714 -3.0000)  (-5.5511e-17 1.0714 -3.0000) 
 (-8.3267e-17 1.5000 -2.5714)  (0.43478 1.5000 -2.5714)  (0.43478 1.0714 -2.5714)  (-5.5511e-17 1.0714 -2.5714) 
 (-8.3267e-17 1.5000 -2.1429)  (0.43478 1.5000 -2.1429)  (0.43478 1.0714 -2.1429)  (-5.5511e-17 1.0714 -2.1429) 
 (-8.3267e-17 1.5000 -1.7143)  (0.43478 1.5000 -1.7143)  (0.43478 1.0714 -1.7143)  (-5.5511e-17 1.0714 -1.7143) 
 (-8.3267e-17 1.5000 -1.2857)  (0.43478 1.5000 -1.2857)  (0.43478 1.0714 -1.2857)  (-5.5511e-17 1.0714 -1.2857) 
 (-8.3267e-17 1.5000 -0.85714)  (0.43478 1.5000 -0.85714)  (0.43478 1.0714 -0.85714)  (-5.5511e-17 1.0714 -0.85714) 
 (-8.3267e-17 1.5000 -0.42857)  (0.43478 1.5000 -0.42857)  (0.43478 1.0714 -0.42857)  (-5.5511e-17 1.0714 -0.42857) 
 (-8.3267e-17 1.5000 0.0000)  (0.43478 1.5000 0.0000)  (0.43478 1.0714 0.0000)  (-5.5511e-17 1.0714 0.0000) 
 (-8.3267e-17 1.5000 0.42857)  (0.43478 1.5000 0.42857)  (0.43478 1.0714 0.42857)  (-5.5511e-17 1.0714 0.42857) 
 (-8.3267e-17 1.5000 0.85714)  (0.43478 1.5000 0.85714)  (0.43478 1.0714 0.85714)  (-5.5511e-17 1.0714 0.85714) 
 (-8.3267e-17 1.5000 1.2857)  (0.43478 1.5000 1.2857)  (0.43478 1.0714 1.2857)  (-5.5511e-17 1.0714 1.2857) 
 (-8.3267e-17 1.5000 1.7143)  (0.43478 1.5000 1.7143)  (0.43478 1.0714 1.7143)  (-5.5511e-17 1.0714 1.7143) 
 (-8.3267e-17 1.5000 2.1429)  (0.43478 1.5000 2.1429)  (0.43478 1.0714 2.1429)  (-5.5511e-17 1.0714 2.1429) 
 (-8.3267e-17 1.5000 2.5714)  (0.43478 1.5000 2.5714)  (0.43478 1.0714 2.5714)  (-5.5511e-17 1.0714 2.5714) 
 (-8.3267e-17 1.5000 3.0000)  (0.43478 1.5000 3.0000)  (0.43478 1.0714 3.0000)  (-5.5511e-17 1.0714 3.0000) 
