Time 2ag_AVG_dendrite STD_dendrite 2ag_AVG_SM_dendrite STD_SM_dendrite 2ag_AVG_CT_dendrite STD_CT_dendrite 2ag_AVG_neck.sa1[0] STD_neck.sa1[0] 2ag_AVG_CT_neck.sa1[0] STD_CT_neck.sa1[0] 2ag_AVG_head.sa1[0] STD_head.sa1[0] 2ag_AVG_CT_head.sa1[0] STD_CT_head.sa1[0] 2ag_AVG_PSD.sa1[0] STD_PSD.sa1[0] 2ag_AVG_CT_PSD.sa1[0] STD_CT_PSD.sa1[0] 2ag_AVG_neck.sa1[1] STD_neck.sa1[1] 2ag_AVG_CT_neck.sa1[1] STD_CT_neck.sa1[1] 2ag_AVG_head.sa1[1] STD_head.sa1[1] 2ag_AVG_CT_head.sa1[1] STD_CT_head.sa1[1] 2ag_AVG_PSD.sa1[1] STD_PSD.sa1[1] 2ag_AVG_CT_PSD.sa1[1] STD_CT_PSD.sa1[1] 2ag_AVG_FAKE.sa2[0] STD_FAKE.sa2[0] 2ag_AVG_CT_FAKE.sa2[0] STD_CT_FAKE.sa2[0] 2ag_AVG_FAKE.sa2[1] STD_FAKE.sa2[1] 2ag_AVG_CT_FAKE.sa2[1] STD_CT_FAKE.sa2[1] 2ag_AVG_FAKE.sa2[2] STD_FAKE.sa2[2] 2ag_AVG_CT_FAKE.sa2[2] STD_CT_FAKE.sa2[2] 2ag_AVG_FAKE.sa2[3] STD_FAKE.sa2[3] 2ag_AVG_CT_FAKE.sa2[3] STD_CT_FAKE.sa2[3] 2ag_AVG_FAKE.sa2[4] STD_FAKE.sa2[4] 2ag_AVG_CT_FAKE.sa2[4] STD_CT_FAKE.sa2[4] 2ag_AVG_TOTAL STD_TOTAL
3350 0.0408164 0.197864 0 0 0.0571429 0.232115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0351136 0.183166 
3400 0.0306123 0.172265 0 0 0.0428572 0.202535 0 0 0 0 0.67499 0.210684 0.67499 0.210684 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0567396 0.17766 
3450 0.0306123 0.172265 0 0 0.0428572 0.202535 0.666667 0.471405 0.666667 0.471405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0330918 0.205872 
3500 0.0408164 0.197864 0.107143 0.309295 0.0142857 0.118666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0351136 0.183166 
3550 0.0408164 0.197864 0 0 0.0571429 0.232115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0351136 0.183166 
3600 0.0408164 0.197864 0.0357143 0.185577 0.0428572 0.202535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0351136 0.183166 
3650 0.0204082 0.141392 0.0357143 0.185577 0.0142857 0.118666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0175568 0.130702 
3700 0.0408164 0.197864 0 0 0.0571429 0.232115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0351136 0.183166 
3750 0.0306123 0.172265 0.0357143 0.185577 0.0285714 0.166599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0263352 0.159353 
3800 0.0306123 0.172265 0 0 0.0428572 0.202535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0263352 0.159353 
